data;

param NW := 3; /* Number of distribution centers to build */

/* Transportation costs from location i to location j */
param COST: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 :=
1 0 4 6 8 8 6 3 4 4 3 5 10 13 16 13 15 11 15 15 15 8 10 15 19 13 11 8 8 7 12 11 16 21 
2 4 0 3 4 6 6 5 7 6 4 3 7 10 13 10 13 10 14 15 16 10 13 18 23 17 15 11 10 8 13 10 13 17 
3 6 3 0 2 4 6 6 9 9 7 5 7 8 10 7 10 8 12 14 17 11 15 20 25 19 17 14 13 10 15 11 13 16 
4 8 4 2 0 5 8 9 12 11 8 6 5 6 8 6 9 8 12 15 19 13 17 22 27 21 19 16 15 11 16 11 11 14 
5 8 6 4 5 0 3 6 10 11 10 9 10 11 11 7 8 4 8 10 14 9 14 19 25 20 19 14 15 14 19 15 17 18 
6 6 6 6 8 3 0 3 8 10 9 9 13 14 15 10 10 5 8 9 11 6 11 15 23 17 16 11 14 13 18 16 19 21 
7 3 5 6 9 6 3 0 5 7 7 8 12 15 16 12 13 9 12 11 11 5 8 13 20 14 13 8 10 10 16 15 18 22 
8 4 7 9 12 10 8 5 0 4 5 8 13 17 20 16 18 14 16 15 13 8 7 12 16 10 8 4 6 7 12 13 19 24 
9 4 6 9 11 11 10 7 4 0 3 5 11 15 19 16 18 15 18 18 17 11 10 15 17 12 9 6 4 4 9 10 16 22 
10 3 4 7 8 10 9 7 5 3 0 3 9 13 16 14 17 14 17 18 18 12 12 17 20 14 11 9 6 4 9 8 14 19 
11 5 3 5 6 9 9 8 8 5 3 0 6 10 14 12 15 13 17 18 19 13 14 19 23 17 14 12 9 5 10 7 11 17 
12 10 7 7 5 10 13 12 13 11 9 6 0 5 10 10 14 14 18 21 23 17 20 25 28 23 20 17 14 10 13 7 6 11 
13 13 10 8 6 11 14 15 17 15 13 10 5 0 5 7 12 13 17 21 25 19 23 28 32 27 24 21 19 15 18 11 7 8 
14 16 13 10 8 11 15 16 20 19 16 14 10 5 0 5 9 12 15 20 25 20 25 30 35 30 27 24 23 19 23 16 12 9 
15 13 10 7 6 7 10 12 16 16 14 12 10 7 5 0 5 7 10 15 20 16 21 25 32 26 24 20 20 17 22 16 14 13 
16 15 13 10 9 8 10 13 18 18 17 15 14 12 9 5 0 5 7 12 18 15 21 25 33 27 26 22 23 20 25 21 19 18 
17 11 10 8 8 4 5 9 14 15 14 13 14 13 12 7 5 0 4 8 13 10 16 20 28 22 22 17 19 17 23 19 20 20 
18 15 14 12 12 8 8 12 16 18 17 17 18 17 15 10 7 4 0 6 12 11 17 20 29 24 24 19 22 21 26 23 23 23 
19 15 15 14 15 10 9 11 15 18 18 18 21 21 20 15 12 8 6 0 7 8 14 16 26 20 22 17 21 21 27 25 27 28 
20 15 16 17 19 14 11 11 13 17 18 19 23 25 25 20 18 13 12 7 0 6 9 9 20 15 18 13 19 21 25 26 30 32 
21 8 10 11 13 9 6 5 8 11 12 13 17 19 20 16 15 10 11 8 6 0 6 10 18 13 14 9 14 15 20 20 24 27 
22 10 13 15 17 14 11 8 7 10 12 14 20 23 25 21 21 16 17 14 9 6 0 5 12 7 9 5 11 14 18 20 26 30 
23 15 18 20 22 19 15 13 12 15 17 19 25 28 30 25 25 20 20 16 9 10 5 0 10 7 11 9 15 18 22 25 31 35 
24 19 23 25 27 25 23 20 16 17 20 23 28 32 35 32 33 28 29 26 20 18 12 10 0 6 9 12 14 19 20 26 33 39 
25 13 17 19 21 20 17 14 10 12 14 17 23 27 30 26 27 22 24 20 15 13 7 7 6 0 5 6 10 14 17 21 28 34 
26 11 15 17 19 19 16 13 8 9 11 14 20 24 27 24 26 22 24 22 18 14 9 11 9 5 0 5 6 10 11 17 24 30 
27 8 11 14 16 14 11 8 4 6 9 12 17 21 24 20 22 17 19 17 13 9 5 9 12 6 5 0 6 10 13 16 23 28 
28 8 10 13 15 15 14 10 6 4 6 9 14 19 23 20 23 19 22 21 19 14 11 15 14 10 6 6 0 5 7 11 19 25 
29 7 8 10 11 14 13 10 7 4 4 5 10 15 19 17 20 17 21 21 21 15 14 18 19 14 10 10 5 0 5 7 14 21 
30 12 13 15 16 19 18 16 12 9 9 10 13 18 23 22 25 23 26 27 25 20 18 22 20 17 11 13 7 5 0 7 15 23 
31 11 10 11 11 15 16 15 13 10 8 7 7 11 16 16 21 19 23 25 26 20 20 25 26 21 17 16 11 7 7 0 8 15 
32 16 13 13 11 17 19 18 19 16 14 11 6 7 12 14 19 20 23 27 30 24 26 31 33 28 24 23 19 14 15 8 0 7 
33 21 17 16 14 18 21 22 24 22 19 17 11 8 9 13 18 20 23 28 32 27 30 35 39 34 30 28 25 21 23 15 7 0 ;
end;
